date;price
20091202;168.5000000
20091203;168.6000000
20091204;162.0500000
20091207;166.6200000
20091208;164.5000000
20091209;166.3000000
20091210;165.8800000
20091211;167.1000000
20091214;167.5000000
20091215;167.7200000
20091216;171.7000000
20091217;179.3300000
20091218;177.7000000
20091221;183.2200000
20091222;183.7800000
20091223;183.6600000
20091224;186.0000000
20091225;181.5800000
20091228;182.9100000
20091229;181.6000000
20091230;183.3000000
20091231;182.7800000
20100111;192.5500000
20100112;194.1000000
20100113;189.8000000
20100114;191.1900000
20100115;190.0000000
20100118;186.9700000
20100119;190.1400000
20100120;189.2000000
20100121;187.1600000
20100122;181.4900000
20100125;179.0000000
20100126;180.0100000
20100127;180.7000000
20100128;183.7500000
20100129;180.5200000
20100201;184.7500000
20100202;191.2900000
20100203;194.0000000
20100204;192.6400000
20100205;183.0400000
20100208;181.8000000
20100209;176.9800000
20100210;176.1100000
20100211;173.5300000
20100212;170.4900000
20100215;163.5500000
20100216;165.4700000
20100217;173.7700000
20100218;170.5500000
20100219;164.8000000
20100224;170.0300000
20100225;170.0000000
20100226;166.9000000
20100227;166.7100000
20100301;168.7000000
20100302;167.9800000
20100303;168.8900000
20100304;169.0400000
20100305;174.0600000
20100309;176.6200000
20100310;174.8000000
20100311;173.0100000
20100312;172.4000000
20100315;171.6000000
20100316;169.9500000
20100317;173.0200000
20100318;171.2000000
20100319;171.0100000
20100322;166.3200000
20100323;170.0200000
20100324;168.0000000
20100325;165.0000000
20100326;161.9000000
20100329;160.9500000
20100330;165.3800000
20100331;170.0000000
20100401;172.4600000
20100402;176.1500000
20100405;176.3700000
20100406;175.5100000
20100407;177.4900000
20100408;174.0100000
20100409;175.9800000
20100412;176.1600000
20100413;174.7000000
20100414;175.5700000
20100415;182.8000000
20100416;182.9900000
20100419;177.0000000
20100420;175.7400000
20100421;175.9900000
20100422;172.2500000
20100423;171.5200000
20100426;176.9000000
20100427;176.6900000
20100428;171.6000000
20100429;171.7700000
20100430;175.1000000
20100504;171.4400000
20100505;164.0000000
20100506;162.9800000
20100507;160.1000000
20100511;159.9000000
20100512;159.4900000
20100513;166.9900000
20100514;161.2700000
20100517;156.8800000
20100518;162.1100000
20100519;159.8000000
20100520;157.7300000
20100521;151.0500000
20100524;151.9800000
20100525;145.7700000
20100526;145.7800000
20100527;157.9900000
20100528;159.1700000
20100531;157.5100000
20100601;158.1900000
20100602;157.2100000
20100603;166.4700000
20100604;166.1000000
20100607;158.1900000
20100608;161.5000000
20100609;159.0000000
20100610;159.1500000
20100611;158.7900000
20100615;157.1900000
20100616;161.0000000
20100617;158.4500000
20100618;157.1200000
20100621;161.7600000
20100622;161.2000000
20100623;158.0100000
20100624;159.0000000
20100625;154.4100000
20100628;153.0000000
20100629;152.1300000
20100630;149.9700000
20100701;146.9800000
20100702;144.8000000
20100705;147.9500000
20100706;149.4700000
20100707;150.6600000
20100708;154.7100000
20100709;153.0300000
20100712;153.6800000
20100713;155.8000000
20100714;160.2300000
20100715;157.8900000
20100716;157.5700000
20100719;155.0900000
20100720;157.6900000
20100721;156.8600000
20100722;157.2000000
20100723;162.5000000
20100726;162.4900000
