iter	RMSE
263	4.450364223
264	4.438154111
265	4.428722879
266	4.419105632
267	4.407616636
268	4.398183857
269	4.387402565
270	4.377450827
271	4.365262233
272	4.355430507
273	4.344263701
274	4.334164454
275	4.324085431
276	4.313361853
277	4.302936961
278	4.292875664
279	4.285638793
280	4.276221041
281	4.269039445
282	4.261090693
283	4.25145449
284	4.241840845
285	4.232787672
286	4.224850799
287	4.216144286
288	4.207223622
289	4.198673497
290	4.189874774
291	4.180771599
292	4.172927511
293	4.165883395
294	4.157859629
295	4.150175
296	4.142035971
297	4.134452764
298	4.126702964
299	4.11987169
300	4.111140775
301	4.104125902
302	4.096724264
303	4.088732869
304	4.081035955
305	4.074427816
306	4.068936884
307	4.062017929
308	4.054554962
309	4.048455804
310	4.041899984
311	4.035782148
312	4.028222043
313	4.02126009
314	4.015031095
315	4.008256862
316	4.001902579
317	3.995123178
318	3.988691332
319	3.982343078
320	3.978394763
321	3.972126219
322	3.96562078
323	3.959689387
324	3.95289742
325	3.947326032
326	3.941524987
327	3.935615503
328	3.93054699
329	3.924889239
330	3.919770499
331	3.914289637
332	3.909699511
333	3.903824367
334	3.898145687
335	3.893504648
336	3.888658877
337	3.883694815
338	3.878468302
339	3.873915395
340	3.86879555
341	3.863793313
342	3.86017769
343	3.854080349
344	3.849364051
345	3.845562615
346	3.841359963
347	3.836805726
348	3.832110449
349	3.827057792
350	3.823069045
351	3.818597941
352	3.813192939
353	3.809619601
354	3.80480555
355	3.800847691
356	3.796210369
357	3.79191855
358	3.787631606
359	3.783781031
360	3.779765894
361	3.776462926
362	3.772847932
363	3.769503924
364	3.76559472
365	3.762028656
366	3.757950673
367	3.753241376
368	3.749091665
369	3.745235465
370	3.7413187
371	3.738149781
372	3.734397829
373	3.731107342
374	3.727449689
375	3.724101365
376	3.720833794
377	3.717822199
378	3.714157724
379	3.70983031
380	3.706628538
381	3.703785342
382	3.700506045
383	3.696970814
384	3.693479397
385	3.68965313
386	3.686578373
387	3.683169112
388	3.679996614
389	3.676054342
390	3.672375013
391	3.669748131
392	3.666880397
393	3.66406672
394	3.661119778
395	3.658141943
396	3.655294194
397	3.651907033
398	3.649165061
399	3.646170157
400	3.642758212
401	3.639988206
402	3.637272387
403	3.634468072
404	3.632099812
405	3.628397169
406	3.625349339
407	3.623319112
408	3.620796397
409	3.618106062
410	3.615992387
411	3.613170142
412	3.61068729
413	3.606850229
414	3.604057135
415	3.601227704
416	3.598357201
417	3.596457067
418	3.593583359
419	3.591085385
420	3.589269014
421	3.586297201
422	3.584059371
423	3.582047999
424	3.579465761
425	3.577277065
426	3.575273434
427	3.572989985
428	3.570582777
429	3.568444519
430	3.565973745
431	3.563869247
432	3.561592518
433	3.55864608
434	3.556420529
435	3.554172923
436	3.551060787
437	3.54886809
438	3.54655174
439	3.543586043
440	3.541764807
441	3.539562908
442	3.536860091
443	3.535161509
444	3.533417535
445	3.531491227
446	3.529499319
447	3.527694444
448	3.525678414
449	3.522888245
450	3.521127072
451	3.518580574
452	3.516302977
453	3.514208649
454	3.512006205
455	3.509319782
456	3.507703994
457	3.505963559
458	3.503836388
459	3.501964896
460	3.499660923
461	3.497686723
462	3.496179483
463	3.494428193
464	3.492095973
465	3.489900719
466	3.488376074
467	3.486868873
468	3.484317407
469	3.48214301
470	3.479961635
471	3.47825777
472	3.476772604
473	3.474681201
474	3.472420009
475	3.469703802
476	3.468241037
477	3.466633412
478	3.465100348
479	3.463732275
480	3.462103837
481	3.460346003
482	3.458581121
483	3.456750935
484	3.455177863
485	3.453598496
486	3.451697157
487	3.449987615
488	3.448304173
489	3.446721091
490	3.444727421
491	3.442861922
492	3.441340082
493	3.439480799
494	3.437950558
495	3.436078637
496	3.434687096
497	3.433489042
498	3.431227701
499	3.429765984
500	3.428390645
501	3.427172821
502	3.425524602
503	3.424529205
504	3.423189101
505	3.421020881
506	3.419038762
507	3.416948724
508	3.415544373
509	3.413900091
510	3.411949297
511	3.410321356
512	3.408600586
513	3.40661403
514	3.405537944
515	3.403992213
516	3.401688329
517	3.399644151
518	3.398225705
519	3.3970008
520	3.394540455
521	3.393194887
522	3.391809207
523	3.390055956
524	3.388451014
525	3.387268023
526	3.385956453
527	3.384270561
528	3.38260651
529	3.381350733
530	3.380225147
531	3.37861242
532	3.377644056
533	3.376003565
534	3.374588877
535	3.373364434
536	3.37195871
537	3.370638589
538	3.369272988
539	3.368072881
540	3.366557354
541	3.364882401
542	3.363423845
543	3.361997016
544	3.360842828
545	3.358899114
546	3.35795403
547	3.356412421
548	3.354822888
549	3.353668553
550	3.352825166
551	3.351550434
552	3.349684525
553	3.347753989
554	3.346887176
555	3.344947975
556	3.343714412
557	3.342544593
558	3.340773344
559	3.339092687
560	3.33753956
561	3.336442384
562	3.33508116
563	3.333242549
564	3.332041135
565	3.330857081
566	3.329760577
567	3.328257288
568	3.327155534
569	3.326052585
570	3.324896624
571	3.323685975
572	3.322018853
573	3.320863682
574	3.319403367
575	3.318486275
576	3.31711718
577	3.315654348
578	3.314402861
579	3.312879678
580	3.311355234
581	3.309918002
582	3.308782492
583	3.307575262
584	3.306691561
585	3.305039216
586	3.30360489
587	3.302557179
588	3.301167833
589	3.299322386
590	3.297873713
591	3.296887434
592	3.295622697
593	3.293965727
594	3.292460623
595	3.290865253
596	3.289330843
597	3.288109579
598	3.287253468
599	3.286163873
